sample_location,sample_date,Fe2O3_percent,Fe_percent,SiO2_percent,SO3_percent,Na2O_percent,CaO_percent,MnO_percent,Al2O3_percent,Cl_percent,MgO_percent,Cr2O3_percent,Co2O3_percent,corrosion_severity,corrosion_implication
Musoma,15/04/2023,63.6,44.48,37.73,0.16,0.05,0.2,0.1,0.5,0.38,0.1,0.05,0.05,Low,Minimal corrosion activity
Mbeya,21/01/2024,45.92,32.12,41.68,0.44,0.38,1.78,0.95,3.9,0.19,1.0,1.5,0.41,Low,Light surface scaling
Tanga,26/02/2022,60.98,42.65,32.68,0.47,0.18,0.32,1.39,1.49,0.37,0.62,0.13,0.64,Low,Minor surface oxidation
Bukoba,11/10/2020,67.27,47.05,24.62,1.8,0.51,0.71,1.32,0.96,0.25,0.14,1.11,0.7,Moderate,Uniform corrosion with scaling
Songosongo,06/07/2020,73.89,51.68,25.54,0.31,-0.04,-0.04,0.04,0.18,0.23,0.06,-0.07,0.01,Moderate,Uniform corrosion with scaling
Mwanza,22/07/2022,67.48,47.2,17.53,0.58,1.21,2.66,1.04,5.17,0.27,1.03,0.29,0.47,Moderate,General surface corrosion
Kigoma,31/03/2023,69.06,48.3,25.95,0.13,0.05,1.09,0.72,1.06,0.76,0.38,0.28,0.49,Moderate,Moderate pitting observed
Dodoma,22/11/2020,71.94,50.31,26.81,1.88,0.05,0.2,0.1,0.5,0.44,0.1,0.05,0.05,Moderate,Erosive wear from particulate ingress
Songosongo,11/08/2022,64.39,45.04,21.37,1.01,0.07,2.21,1.47,4.51,0.37,0.8,0.68,0.64,Low,Protective oxide layer formation
Zanzibar,17/02/2021,48.61,34.0,34.85,0.33,1.34,2.75,0.92,3.67,0.19,2.85,0.29,0.7,Very Low,Stable protective coating
Arusha,05/04/2024,75.57,52.86,18.8,1.62,0.07,0.91,0.6,0.63,0.16,0.25,0.69,0.68,Moderate,Uniform corrosion with scaling
Mwanza,12/02/2023,55.25,38.64,26.4,0.36,1.78,3.95,2.01,4.25,0.72,0.58,0.84,0.31,Moderate,Moderate crevice corrosion
Morogoro,31/01/2025,68.03,47.58,22.62,1.0,0.72,0.65,0.11,2.3,0.76,0.55,0.11,0.4,Moderate,General surface corrosion
Musoma,03/02/2024,70.98,49.64,21.44,0.62,0.26,2.79,0.22,0.51,0.38,1.16,0.19,0.44,Moderate,Uniform corrosion with scaling
Mbeya,28/10/2021,89.64,62.7,8.25,3.78,0.05,0.2,0.1,0.5,1.16,0.1,0.05,0.05,Severe,Severe localized attack
Madimba,25/02/2024,79.99,55.95,3.43,2.61,0.19,0.25,2.13,4.73,1.49,1.99,1.09,0.73,Severe,Critical stress corrosion cracking
Mbeya,26/12/2023,52.9,37.0,42.96,0.36,0.07,0.55,0.54,1.3,0.39,0.36,0.29,0.04,Very Low,Passive corrosion behavior
Morogoro,08/05/2022,69.4,48.54,21.85,1.78,0.36,2.76,0.08,0.36,0.3,1.23,1.06,0.64,Moderate,Moderate pitting observed
Pemba,29/12/2022,82.01,57.36,5.42,3.64,0.18,2.58,1.3,2.12,0.93,0.64,0.31,0.59,High,Severe corrosion (oxidation and MIC)
Songosongo,19/10/2020,59.49,41.6,35.69,0.97,0.39,0.71,0.4,0.4,0.24,0.29,0.42,0.07,Low,Acceptable corrosion rates
Pemba,01/12/2021,52.33,36.6,40.98,0.1,0.4,1.52,1.15,1.38,0.22,0.39,0.52,0.22,Low,Minimal corrosion activity
Mbeya,27/12/2025,89.17,62.37,8.67,3.9,0.05,0.2,0.1,0.5,1.15,0.1,0.05,0.05,Severe,Significant wall thinning
Njombe,29/09/2022,72.31,50.58,26.09,0.4,-0.0,0.09,0.05,0.3,0.72,0.07,0.01,0.01,Moderate,Moderate crevice corrosion
Zanzibar,31/10/2021,85.15,59.55,4.16,0.82,0.39,1.72,0.41,3.46,1.08,0.85,0.92,0.09,Severe,Deep penetration corrosion
Cyclone,08/03/2025,85.83,60.03,4.76,4.36,0.03,0.22,0.84,1.49,1.1,0.42,0.18,0.57,Severe,Deep penetration corrosion
Mwanza,03/04/2024,48.29,33.77,34.76,0.42,0.1,5.2,2.13,5.78,0.07,1.03,1.01,0.03,Very Low,Optimal material performance
Njombe,10/01/2023,59.74,41.79,38.81,0.93,-0.04,0.05,0.04,0.12,0.35,0.1,-0.04,0.01,Very Low,No significant deterioration
Madimba,18/06/2022,65.47,45.79,13.16,0.12,2.28,4.84,0.91,4.16,0.41,2.12,1.56,0.04,Moderate,General surface corrosion
Songosongo,21/08/2023,57.41,40.16,27.79,0.56,0.02,3.45,2.12,2.94,0.24,1.27,0.66,0.42,Moderate,General surface corrosion
Singida,17/08/2020,57.59,40.28,42.16,0.11,0.05,0.2,0.1,0.5,0.24,0.1,0.05,0.05,Low,Acceptable corrosion rates
Mbeya,27/07/2022,84.05,58.78,6.79,3.18,0.88,0.23,0.44,0.43,1.2,0.32,0.33,0.78,Severe,Rapid corrosion propagation
Iringa,11/05/2020,59.19,41.4,22.54,1.6,1.27,4.51,0.72,3.73,0.47,2.88,1.2,0.17,Moderate,Selective corrosion activity
Madimba,16/07/2023,55.92,39.11,21.26,1.75,0.72,3.6,2.63,6.07,0.44,2.71,0.56,0.48,Moderate,Selective corrosion activity
Dar es Salaam,01/07/2024,79.21,55.4,7.95,3.1,0.21,2.83,1.82,0.71,1.21,0.31,1.55,0.15,High,Severe intergranular attack
Shinyanga,01/01/2023,84.85,59.34,10.58,1.71,0.09,0.32,0.28,0.55,0.89,0.14,0.35,0.21,Severe,Rapid corrosion propagation
Mbeya,28/09/2020,64.91,45.4,21.87,0.57,1.51,1.0,0.16,1.05,0.61,2.24,0.95,0.68,Moderate,Uniform corrosion with scaling
Singida,14/05/2022,86.71,60.64,3.26,4.01,0.04,0.23,0.97,0.81,0.52,1.31,0.17,0.37,Severe,Metal loss in carbon steel
Kagera,12/07/2023,81.32,56.88,1.46,2.68,0.52,4.09,0.06,5.52,0.56,1.65,1.12,0.37,High,Aggressive pitting corrosion
Rukwa,20/05/2022,66.24,46.33,14.23,1.37,2.14,5.51,0.65,2.42,0.17,2.05,0.2,0.54,Moderate,Moderate pitting observed
Iringa,06/08/2025,74.97,52.43,23.08,0.44,0.03,0.2,0.08,0.33,0.69,0.09,0.03,0.03,Moderate,Moderate pitting observed
Pemba,08/06/2024,88.79,62.1,3.37,3.3,0.36,0.91,0.12,0.72,1.12,0.47,0.03,0.78,High,Extensive uniform corrosion
Pwani,22/02/2025,75.03,52.48,21.07,1.59,0.11,0.27,0.14,0.63,0.63,0.21,0.15,0.18,Moderate,Erosive wear from particulate ingress
Cyclone,08/08/2021,73.81,51.62,20.71,0.33,0.24,0.82,0.56,0.85,0.15,0.8,0.47,0.2,Moderate,Moderate crevice corrosion
Mtwara,20/12/2022,60.23,42.12,21.66,0.24,0.95,3.04,1.17,4.4,0.58,2.6,0.96,0.03,Moderate,Uniform corrosion with scaling
Rukwa,25/07/2021,63.74,44.58,21.28,0.86,0.85,3.92,2.05,3.43,0.5,1.24,0.03,0.16,Moderate,Uniform corrosion with scaling
Kigoma,07/10/2022,50.33,35.2,34.24,1.14,0.67,1.1,0.68,4.97,0.34,1.8,1.68,0.72,Very Low,Negligible corrosion detected
Tanga,12/12/2022,71.95,50.32,15.47,1.74,0.29,3.32,1.7,0.39,0.21,1.19,0.79,0.48,Moderate,Moderate pitting observed
Musoma,20/10/2024,77.72,54.36,23.12,0.36,0.05,0.2,0.1,0.5,0.41,0.1,0.05,0.05,Moderate,Uniform corrosion with scaling
Lindi,23/06/2024,71.5,50.01,27.86,1.42,0.05,0.2,0.1,0.5,0.23,0.1,0.05,0.05,Moderate,Selective corrosion activity
Arusha,22/01/2024,45.76,32.01,39.61,0.09,0.35,4.92,1.64,3.25,0.13,1.03,0.65,0.54,Low,Acceptable corrosion rates
Tabora,17/06/2022,88.24,61.71,9.04,2.86,0.05,0.2,0.1,0.5,0.91,0.1,0.05,0.05,High,Aggressive pitting corrosion
Kilifi,20/07/2021,56.82,39.74,24.34,1.11,1.08,7.94,2.78,1.32,0.19,1.23,1.0,0.5,Very Low,Excellent corrosion resistance
Songosongo,18/09/2025,55.21,38.62,40.3,0.16,0.22,0.15,0.35,1.22,0.32,0.31,0.1,0.75,Low,Minimal corrosion activity
Mtwara,14/07/2025,62.03,43.38,19.16,0.85,0.91,6.3,1.49,3.74,0.54,2.34,0.34,0.75,Moderate,Moderate crevice corrosion
Shinyanga,07/01/2021,57.7,40.35,41.71,0.46,0.05,0.2,0.1,0.5,0.35,0.1,0.05,0.05,Low,Minor surface oxidation
Njombe,11/07/2020,90.8,63.51,1.89,1.93,0.26,1.41,0.39,0.56,0.84,0.85,0.53,0.11,Severe,Critical stress corrosion cracking
Dodoma,25/03/2021,83.65,58.51,6.57,1.95,0.57,2.08,0.41,0.56,0.88,1.0,0.22,0.06,Severe,Critical stress corrosion cracking
Mbeya,18/09/2021,84.2,58.89,11.94,1.02,0.03,0.8,0.12,0.75,0.46,0.13,0.11,0.09,Severe,Critical stress corrosion cracking
Songosongo,17/10/2021,56.43,39.47,27.95,1.07,0.69,1.65,1.89,3.53,0.68,1.48,0.27,0.71,Moderate,Selective corrosion activity
Kigoma,25/09/2024,72.49,50.7,20.56,0.36,0.61,0.8,2.02,0.33,0.29,1.03,0.45,0.1,Moderate,Moderate pitting observed
Arusha,17/09/2020,73.06,51.1,27.29,1.79,0.05,0.2,0.1,0.5,0.66,0.1,0.05,0.05,Moderate,General surface corrosion
Musoma,25/04/2024,70.83,49.54,16.07,0.93,0.72,4.97,1.14,0.46,0.7,1.28,1.55,0.51,Moderate,Moderate crevice corrosion
Musoma,12/04/2024,70.19,49.09,16.24,1.55,0.66,5.42,0.72,0.67,0.16,1.58,0.65,0.17,Moderate,Moderate crevice corrosion
Mtwara,01/04/2025,49.6,34.69,35.39,0.93,1.19,6.46,2.21,0.52,0.24,0.62,1.04,0.47,Low,Protective oxide layer formation
Rukwa,07/12/2025,91.24,63.81,2.41,3.23,0.11,0.24,0.21,0.9,0.77,0.23,0.25,0.42,Severe,Deep penetration corrosion
Kilifi,26/10/2022,43.42,30.37,37.67,1.01,1.98,1.22,1.66,4.72,0.32,2.96,0.1,0.14,Low,Slight discoloration only
Njombe,17/02/2020,54.04,37.8,23.76,0.98,0.83,5.11,1.65,7.1,0.23,1.72,0.6,0.46,Low,Slight discoloration only
Pwani,14/04/2021,75.09,52.52,24.18,1.31,0.05,0.2,0.1,0.5,0.25,0.1,0.05,0.05,Moderate,Uniform corrosion with scaling
Cyclone,28/12/2022,59.32,41.49,24.54,0.78,0.41,5.55,0.15,0.33,0.51,2.26,1.92,0.3,Moderate,Moderate pitting observed
Kigoma,25/10/2023,58.42,40.86,26.03,0.68,0.8,2.7,2.18,2.26,0.8,2.47,0.79,0.34,Moderate,Selective corrosion activity
Mbeya,01/04/2021,67.9,47.49,22.82,1.25,0.06,2.64,0.76,1.01,0.67,0.18,0.55,0.63,Moderate,Uniform corrosion with scaling
Njombe,17/04/2023,90.77,63.49,5.84,2.71,-0.04,0.03,0.04,0.22,0.56,0.06,-0.09,0.01,Severe,Significant wall thinning
Dar es Salaam,15/11/2024,87.85,61.44,8.0,2.36,0.01,0.11,0.05,0.29,1.26,0.07,0.0,0.01,High,Advanced galvanic corrosion
Songosongo,09/10/2021,74.36,52.01,24.84,0.45,0.05,0.2,0.1,0.5,0.45,0.1,0.05,0.05,Moderate,Erosive wear from particulate ingress
Arusha,01/02/2025,58.07,40.62,23.65,0.25,1.15,5.25,2.31,3.24,0.47,0.51,0.28,0.6,Moderate,Uniform corrosion with scaling
Musoma,14/01/2020,77.0,53.86,12.91,0.23,0.34,1.1,2.62,1.22,0.33,0.53,1.52,0.37,Moderate,Moderate crevice corrosion
Tabora,14/12/2022,88.28,61.74,7.16,4.36,0.05,0.2,0.1,0.5,1.43,0.1,0.05,0.05,Severe,Significant wall thinning
Morogoro,12/08/2025,56.02,39.18,23.5,1.16,1.59,6.36,1.75,2.41,0.23,1.94,0.8,0.73,Very Low,No significant deterioration
Ruvuma,01/01/2022,58.63,41.01,24.69,1.42,0.13,4.43,0.63,5.15,0.36,1.85,0.34,0.16,Moderate,Selective corrosion activity
Songosongo,10/09/2025,88.09,61.61,5.84,1.36,0.27,1.44,0.59,0.4,1.08,0.29,0.17,0.48,Severe,Deep penetration corrosion
Dodoma,11/03/2021,69.6,48.68,26.11,0.42,0.37,0.12,0.66,0.48,0.43,0.51,0.71,0.07,Moderate,Moderate crevice corrosion
Songosongo,07/05/2023,78.75,55.08,10.01,3.98,0.27,0.76,0.71,1.87,0.99,0.98,0.37,0.4,Severe,Severe localized attack
Shinyanga,10/09/2025,81.7,57.15,8.83,1.44,0.58,0.82,0.35,0.54,1.31,0.76,1.5,0.52,Severe,Critical stress corrosion cracking
Rukwa,25/03/2022,74.68,52.23,25.39,0.53,0.05,0.2,0.1,0.5,0.33,0.1,0.05,0.05,Moderate,Moderate pitting observed
Dar es Salaam,18/09/2021,70.97,49.63,16.88,1.07,1.1,1.64,1.98,0.43,0.29,2.53,1.43,0.63,Moderate,Selective corrosion activity
Pemba,11/03/2024,60.99,42.66,22.73,1.82,1.0,2.97,1.41,0.89,0.51,2.61,0.77,0.78,Moderate,Selective corrosion activity
Mtwara,23/10/2021,41.9,29.31,37.98,0.06,1.53,6.88,0.91,2.42,0.37,2.74,1.61,0.02,Low,Slight discoloration only
Morogoro,12/12/2025,89.53,62.62,10.12,1.93,0.05,0.2,0.1,0.5,0.71,0.1,0.05,0.05,High,Advanced galvanic corrosion
Madimba,03/01/2020,89.86,62.85,10.93,0.98,0.05,0.2,0.1,0.5,1.34,0.1,0.05,0.05,Severe,Metal loss in carbon steel
Rukwa,20/08/2023,68.64,48.01,14.97,1.8,1.72,5.1,0.15,1.61,0.2,1.79,1.71,0.42,Moderate,General surface corrosion
Arusha,24/06/2025,58.25,40.74,21.1,0.72,0.65,4.25,2.5,7.24,0.08,2.07,0.98,0.35,Very Low,Excellent corrosion resistance
Mtwara,20/03/2020,65.0,45.46,21.63,1.57,0.74,2.75,1.58,2.13,0.73,1.13,0.4,0.41,Moderate,Moderate pitting observed
Musoma,03/04/2021,57.85,40.46,35.18,0.01,0.11,0.27,1.39,0.93,0.07,1.21,0.69,0.37,Low,Slight discoloration only
Mbeya,26/01/2024,55.23,38.63,26.61,1.31,0.09,3.85,0.37,5.73,0.55,2.3,1.07,0.12,Moderate,Selective corrosion activity
Arusha,13/06/2023,52.7,36.86,36.17,0.52,0.74,3.56,0.99,1.49,0.15,1.43,1.16,0.73,Very Low,Negligible corrosion detected
Tanga,07/09/2022,62.33,43.6,17.94,1.21,0.87,4.44,1.15,5.16,0.54,0.57,0.29,0.71,Moderate,General surface corrosion
Pemba,25/08/2020,75.43,52.76,25.23,1.25,0.05,0.2,0.1,0.5,0.79,0.1,0.05,0.05,Moderate,Selective corrosion activity
Tanga,13/09/2022,63.45,44.37,28.41,0.47,0.71,0.53,1.18,1.76,0.17,0.92,1.2,0.36,Low,Slight discoloration only
Pemba,18/11/2020,69.4,48.54,18.43,1.03,0.16,2.12,1.06,3.68,0.8,0.9,0.58,0.04,Moderate,Moderate pitting observed
Mwanza,16/12/2020,67.49,47.2,27.42,0.53,0.26,0.75,0.66,1.18,0.74,0.15,0.07,0.64,Moderate,Selective corrosion activity
Songosongo,13/06/2025,60.08,42.02,22.02,1.13,0.43,2.48,2.6,6.5,0.21,1.21,0.58,0.17,Low,Light surface scaling
Pemba,10/10/2020,82.73,57.86,6.42,2.69,0.3,2.27,0.41,2.51,1.04,0.66,0.34,0.64,Severe,Deep penetration corrosion
Kagera,21/12/2025,58.14,40.66,18.39,0.36,1.56,5.63,0.47,7.66,0.31,2.28,1.32,0.62,Low,Light surface scaling
Dar es Salaam,30/05/2021,87.27,61.04,6.36,1.13,0.09,0.83,0.13,0.95,0.49,0.46,1.11,0.76,Severe,Deep penetration corrosion
Zanzibar,09/06/2021,63.2,44.21,26.09,0.63,0.08,3.14,1.35,2.15,0.08,0.16,0.76,0.24,Very Low,Passive corrosion behavior
Bukoba,30/04/2025,36.24,25.35,43.09,0.97,1.57,2.06,1.46,7.1,0.19,0.76,1.96,0.49,Low,Light surface scaling
Dodoma,07/11/2021,69.9,48.89,26.22,0.33,0.22,0.73,0.42,0.72,0.48,0.13,0.13,0.57,Moderate,Selective corrosion activity
Madimba,21/12/2022,91.08,63.7,6.72,2.84,0.05,0.2,0.1,0.5,0.56,0.1,0.05,0.05,Severe,Metal loss in carbon steel
Songosongo,01/12/2025,80.43,56.25,4.13,2.64,0.01,0.34,2.26,3.2,0.55,0.89,1.03,0.05,Severe,Metal loss in carbon steel
Pemba,29/09/2024,53.28,37.26,40.66,0.08,0.28,1.92,0.44,0.81,0.05,0.2,0.38,0.68,Low,Light surface scaling
Tanga,17/05/2022,73.15,51.16,18.94,1.79,0.23,2.11,0.13,1.0,0.74,0.62,0.31,0.51,Moderate,Moderate crevice corrosion
Lindi,03/04/2022,75.09,52.52,8.84,1.42,0.21,3.18,1.95,5.23,1.13,0.92,0.14,0.63,Severe,Significant wall thinning
Morogoro,30/06/2023,64.58,45.17,25.61,1.66,0.5,1.4,1.52,2.17,0.29,0.32,0.72,0.24,Moderate,Selective corrosion activity
Pemba,22/06/2024,57.44,40.18,28.48,0.77,0.82,2.04,2.76,1.58,0.29,0.84,1.78,0.57,Low,Minor surface oxidation
Tabora,09/03/2024,53.47,37.4,33.38,1.18,1.42,2.89,0.24,2.24,0.14,1.65,0.39,0.64,Very Low,Optimal material performance
Kigoma,29/11/2024,90.15,63.05,6.25,1.4,0.04,0.26,0.13,0.33,1.19,0.1,0.08,0.08,High,Extensive uniform corrosion
Pemba,20/10/2025,40.7,28.47,42.8,0.91,1.07,2.13,2.37,3.64,0.38,0.78,0.72,0.53,Very Low,Stable protective coating
Tabora,23/01/2025,48.26,33.76,33.66,0.53,1.83,1.76,1.09,5.33,0.23,2.69,1.79,0.34,Low,Slight discoloration only
Njombe,10/05/2021,84.53,59.12,3.25,2.64,0.09,1.34,2.17,0.88,1.05,0.42,0.15,0.75,Severe,Critical stress corrosion cracking
Iringa,12/10/2022,64.42,45.05,25.37,1.64,0.62,2.27,0.95,2.37,0.37,0.24,0.57,0.23,Moderate,Moderate pitting observed
Shinyanga,09/07/2022,60.3,42.17,23.67,0.1,0.57,4.53,2.24,1.59,0.78,2.32,0.61,0.27,Moderate,Erosive wear from particulate ingress
Musoma,19/09/2020,91.34,63.88,5.08,1.47,0.01,0.21,0.08,0.29,1.39,0.08,0.02,0.02,Severe,Metal loss in carbon steel
Mtwara,16/10/2023,71.31,49.88,24.49,0.42,0.11,0.14,0.23,1.25,0.53,0.43,0.47,0.61,Moderate,Uniform corrosion with scaling
Morogoro,27/03/2020,45.55,31.86,27.97,0.62,2.15,5.61,2.16,8.49,0.38,1.44,1.39,0.59,Low,Minimal corrosion activity
Shinyanga,31/07/2022,80.48,56.29,3.15,3.79,0.52,4.9,1.76,1.78,0.78,0.97,0.63,0.76,Severe,Deep penetration corrosion
Dodoma,21/06/2022,63.75,44.59,24.58,0.41,1.26,0.21,2.53,1.82,0.63,0.13,1.94,0.36,Moderate,Selective corrosion activity
Dar es Salaam,30/01/2020,53.19,37.21,32.75,0.98,0.25,3.11,2.17,0.55,0.39,2.38,1.6,0.45,Low,Protective oxide layer formation
Musoma,17/10/2020,74.16,51.87,12.19,1.82,0.63,2.99,0.9,0.52,0.59,0.91,1.25,0.27,Moderate,Moderate pitting observed
Bukoba,29/08/2020,83.09,58.11,9.62,1.05,0.26,1.54,0.41,1.13,0.71,0.15,1.15,0.52,Severe,Rapid corrosion propagation
Iringa,26/07/2022,69.54,48.64,18.69,0.48,1.85,1.45,0.87,0.7,0.64,1.35,0.14,0.42,Moderate,General surface corrosion
Singida,03/10/2020,63.83,44.64,28.9,0.14,0.22,1.07,0.55,2.01,0.31,0.57,0.3,0.39,Low,Protective oxide layer formation
Rukwa,08/05/2020,59.64,41.72,20.86,1.14,0.74,4.2,2.53,6.92,0.1,0.45,1.41,0.55,Low,Light surface scaling
Kilifi,15/09/2023,61.23,42.82,13.0,0.57,2.9,4.89,2.03,7.33,0.45,0.34,1.68,0.65,Moderate,Moderate pitting observed
Pwani,17/10/2020,93.65,65.5,3.2,2.81,0.05,0.2,0.1,0.5,1.08,0.1,0.05,0.05,Severe,Severe localized attack
Kilifi,06/10/2025,89.76,62.78,1.75,2.73,0.16,0.95,0.49,1.85,0.81,0.25,0.67,0.54,Severe,Rapid corrosion propagation
Shinyanga,01/09/2022,84.09,58.81,3.73,3.13,0.05,1.46,1.29,1.52,1.18,1.36,1.09,0.24,Severe,Deep penetration corrosion
Dar es Salaam,14/02/2023,60.75,42.49,20.57,1.08,1.46,6.06,2.38,2.63,0.38,0.83,1.91,0.27,Moderate,Erosive wear from particulate ingress
Madimba,11/06/2025,66.63,46.6,26.02,1.89,0.55,1.22,0.63,1.01,0.22,0.27,0.64,0.67,Moderate,Moderate pitting observed
Iringa,27/05/2022,89.97,62.92,7.72,2.43,0.05,0.2,0.1,0.5,0.58,0.1,0.05,0.05,Severe,Significant wall thinning
Morogoro,25/06/2021,63.99,44.76,15.51,0.54,1.25,4.04,1.28,4.84,0.77,1.34,1.4,0.56,Moderate,General surface corrosion
