sample_location,sample_date,Fe2O3_percent,Fe_percent,SiO2_percent,SO3_percent,Na2O_percent,CaO_percent,MnO_percent,Al2O3_percent,Cl_percent,MgO_percent,Cr2O3_percent,Co2O3_percent,corrosion_severity,corrosion_implication
Pipeline_Inspection_2,31/12/2015 21:01,30.786,20.259,10.965,2.096,2.221,5.508,1.411,6.079,0.975,2.743,0.921,0.366,High,"Immediate attention required, consider replacement"
Heater_Unit_2,31/12/2015 22:01,26.296,19.218,12.131,2.064,2.453,4.461,1.555,5.716,0.69,3.984,0.766,0.395,Moderate,"Increased monitoring required, plan maintenance"
Onshore_Suction_Point,31/12/2015 23:01,31.882,18.482,12.273,1.762,2.608,5.555,1.347,5.862,1.163,3.582,0.752,0.398,High,"Immediate attention required, consider replacement"
Discharge_Point,01/01/2016 01:01,32.537,18.19,10.263,1.442,2.294,5.3,1.529,6.258,1.068,2.251,0.829,0.468,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_1,01/01/2016 02:01,28.166,18.691,12.054,1.723,2.316,5.027,1.507,6.145,0.82,2.727,0.891,0.416,Moderate,"Increased monitoring required, plan maintenance"
Offshore_Suction_Point,01/01/2016 03:01,32.658,15.77,11.584,1.595,2.489,4.426,1.293,7.738,1.084,3.288,1.012,0.34,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,01/01/2016 04:01,31.771,18,12.312,1.646,2.191,5.409,1.261,5.63,0.615,3.551,1.047,0.522,Moderate,"Increased monitoring required, plan maintenance"
Filter_Unit_1,01/01/2016 05:01,34.613,17.049,11.478,2.286,2.373,5.009,1.82,6.444,0.697,3.435,0.764,0.369,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_2,01/01/2016 06:01,32.809,20.092,11.152,1.847,2.201,4.29,1.622,6.754,0.892,2.861,0.842,0.458,High,"Immediate attention required, consider replacement"
Filter_Unit_2,01/01/2016 07:01,34.554,17.229,11.513,1.746,2,4.558,1.22,7.038,0.672,3.785,0.634,0.525,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,01/01/2016 08:01,30.506,20.569,11.321,2.394,2.425,5.027,1.633,6.657,0.958,3.6,0.76,0.436,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,01/01/2016 09:01,33.787,19.745,11.616,2.151,2.357,5.137,1.202,7.401,0.792,2.714,0.977,0.395,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,01/01/2016 10:01,29.624,17.698,10.671,1.523,2.361,4.461,1.457,6.902,0.992,3.169,0.636,0.581,Moderate,"Increased monitoring required, plan maintenance"
Corrosion_Monitor_2,01/01/2016 11:01,30.891,17.979,12.771,2.286,2.66,4.647,1.373,7.189,1.063,3.404,0.817,0.429,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,01/01/2016 12:01,31.527,15.792,14.533,2.096,2.106,4.535,1.484,5.883,1.198,4.007,0.877,0.55,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,01/01/2016 13:01,30.987,16.688,9.404,2.177,2.975,4.633,1.536,6.026,0.942,3.761,0.83,0.461,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,01/01/2016 14:01,27.539,19.017,13.651,1.872,2.216,4.825,1.235,6.905,0.875,2.837,0.893,0.344,Moderate,"Increased monitoring required, plan maintenance"
Offshore_Suction_Point,01/01/2016 15:01,32.527,17.741,10.013,2.228,2.227,4.977,1.366,7.301,0.916,2.735,0.73,0.641,High,"Immediate attention required, consider replacement"
Heater_Unit_3,01/01/2016 16:01,34.587,18.893,10.973,2.423,2.618,6.075,1.412,6.412,1.047,3.663,0.583,0.477,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,01/01/2016 17:01,32.524,19.493,11.672,2.007,2.07,3.794,1.356,7.441,1.034,3.143,0.896,0.484,High,"Immediate attention required, consider replacement"
Filter_Unit_3,01/01/2016 18:01,25.602,16.94,12.07,2.024,2.601,4.607,0.942,8.189,1.118,3.385,0.961,0.429,Moderate,"Increased monitoring required, plan maintenance"
Heater_Unit_2,01/01/2016 19:01,30.371,16.946,11.16,2.217,2.581,3.856,1.195,6.812,0.881,3.131,0.961,0.488,High,"Immediate attention required, consider replacement"
Filter_Unit_2,01/01/2016 20:01,29.34,18.95,12.036,1.833,2.434,5.813,1.299,6.866,0.65,3.348,1.031,0.475,Moderate,"Increased monitoring required, plan maintenance"
Offshore_Suction_Point,01/01/2016 21:01,34.19,18.681,11.893,1.756,1.935,4.498,1.39,7.712,1.112,4.114,0.738,0.477,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,01/01/2016 22:01,32.253,16.717,12.213,1.757,1.907,4.638,1.267,7.039,1.146,3.452,0.885,0.364,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,01/01/2016 23:01,30.726,19.075,12.428,1.609,2.309,4.592,1.225,6.695,0.994,3.766,0.836,0.409,Moderate,"Increased monitoring required, plan maintenance"
Onshore_Suction_Point,02/01/2016 01:01,32.292,18.957,12.42,1.662,2.697,5.028,1.704,6.671,0.974,3.238,0.788,0.357,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,27/03/2016 01:01,27.661,16.199,11.722,2.453,2.745,5.061,1.232,7.852,0.9,3.073,0.757,0.348,High,"Immediate attention required, consider replacement"
Filter_Unit_3,27/03/2016 02:01,35.115,17.24,10.233,2.419,2.786,3.909,1.467,8.453,0.934,3.525,0.985,0.558,High,"Immediate attention required, consider replacement"
Filter_Unit_2,27/03/2016 03:01,37.59,17.392,11.348,1.633,2.57,4.449,1.359,8.71,0.647,3.937,1.078,0.421,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_2,27/03/2016 04:01,33.909,17.628,11.611,1.735,2.318,5.089,1.223,6.089,0.945,3.253,0.895,0.448,High,"Immediate attention required, consider replacement"
Heater_Unit_2,27/03/2016 05:01,30.231,19.067,10.838,2.496,2.174,5.49,1.304,7.617,0.92,3.071,0.834,0.449,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,27/03/2016 06:01,37.167,18.571,12.922,2.228,2.075,4.533,1.755,7.063,1.123,3.102,0.796,0.407,High,"Immediate attention required, consider replacement"
Filter_Unit_3,27/03/2016 07:01,29.531,16.072,9.384,2.395,2.127,4.489,1.287,6.148,0.867,3.346,0.982,0.305,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,27/03/2016 08:01,33.175,19.573,9.527,2.069,2.422,5.333,1.379,6.66,0.848,3.219,0.85,0.359,High,"Immediate attention required, consider replacement"
Heater_Unit_1,27/03/2016 09:01,31.893,15.984,11.284,1.802,2.138,4.755,1.372,7.398,0.815,3.405,0.831,0.456,High,"Immediate attention required, consider replacement"
Filter_Unit_1,27/03/2016 10:01,35.625,16.427,12.626,1.993,2.564,4.146,1.387,6.42,1.008,3.668,0.876,0.389,High,"Immediate attention required, consider replacement"
Heater_Unit_3,27/03/2016 11:01,33.032,19.909,11.808,2.41,2.472,4.183,1.085,8.003,0.798,3.173,0.89,0.379,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,27/03/2016 12:01,28.138,17.092,12.171,1.827,2.614,5.1,1.197,7.595,1.144,3.785,0.83,0.445,Moderate,"Increased monitoring required, plan maintenance"
Discharge_Point,27/03/2016 13:01,31.712,20.95,11.812,2.184,2.03,3.863,1.44,6.769,0.696,3.357,0.941,0.507,High,"Immediate attention required, consider replacement"
Heater_Unit_1,27/03/2016 14:01,36.038,18.459,13.07,2.296,2.202,5.239,1.523,7.955,0.923,3.971,0.92,0.418,High,"Immediate attention required, consider replacement"
Heater_Unit_3,27/03/2016 15:01,33.118,20.917,12.418,1.807,2.268,4.905,1.551,7.279,1.09,2.935,0.929,0.347,High,"Immediate attention required, consider replacement"
Filter_Unit_3,27/03/2016 16:01,32.568,21.244,13.814,1.749,2.183,5.375,1.432,6.203,0.837,2.951,0.874,0.483,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,27/03/2016 17:01,31.562,19.283,12.096,2.063,2.18,4.593,1.116,7.611,1.05,3.445,0.623,0.408,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_1,27/03/2016 18:01,31.134,20.246,12.437,1.993,2.254,5.12,1.19,5.993,0.996,3.08,0.898,0.336,High,"Immediate attention required, consider replacement"
Filter_Unit_1,27/03/2016 19:01,29.169,15.224,13.397,1.272,1.916,5.27,1.362,6.391,0.823,4.222,1.054,0.385,Moderate,"Increased monitoring required, plan maintenance"
Filter_Unit_1,27/03/2016 20:01,33.902,16.374,13.465,2.058,1.795,3.808,1.165,9.637,0.931,3.749,0.612,0.438,High,"Immediate attention required, consider replacement"
Filter_Unit_1,27/03/2016 21:01,28.458,18.825,9.541,1.735,2.353,4.371,1.271,7.634,0.761,3.013,0.999,0.356,Moderate,"Increased monitoring required, plan maintenance"
Heater_Unit_3,27/03/2016 22:01,30.727,17.354,11.58,1.757,2.788,4.656,1.407,6.118,1.062,2.976,0.794,0.401,High,"Immediate attention required, consider replacement"
Filter_Unit_3,27/03/2016 23:01,28.208,17.327,9.602,1.69,2.029,3.724,1.225,6.624,1.146,2.895,0.648,0.276,Moderate,"Increased monitoring required, plan maintenance"
Corrosion_Monitor_1,28/03/2016 01:01,31.458,18.052,10.928,2.209,2.495,5.057,1.281,6.865,0.973,3.673,0.891,0.433,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,28/03/2016 02:01,32.361,19.278,13.188,2.044,2.588,4.621,1.446,5.91,0.716,3.532,1.095,0.468,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,28/03/2016 03:01,31.03,16.324,11.83,1.913,2.274,4.97,1.261,6.064,1.227,3.514,0.902,0.541,High,"Immediate attention required, consider replacement"
Corrosion_Monitor_1,28/03/2016 04:01,29.898,16.971,10.924,2.18,2.218,4.396,1.451,7.027,1.043,2.879,0.665,0.324,High,"Immediate attention required, consider replacement"
Heater_Unit_2,28/03/2016 05:01,28.407,18.114,10.916,1.838,1.997,4.271,1.54,7.474,1.068,4.31,1.013,0.433,Moderate,"Increased monitoring required, plan maintenance"
Corrosion_Monitor_2,28/03/2016 06:01,32.15,20.072,12.044,2.193,2.401,4.503,1.36,8.649,0.64,3.056,0.763,0.341,High,"Immediate attention required, consider replacement"
Filter_Unit_2,28/03/2016 07:01,34.365,16.791,11.271,1.757,2.076,4.217,1.409,8.319,0.674,3.723,0.747,0.384,High,"Immediate attention required, consider replacement"
Discharge_Point,28/03/2016 08:01,31.558,17.846,10.66,2.175,2.663,4.421,1.264,6.561,0.95,3.754,0.724,0.456,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,28/03/2016 09:01,33.089,19.572,12.032,1.768,2.324,5.513,1.486,8.834,0.823,3.174,0.793,0.373,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_2,28/03/2016 10:01,32.751,17.631,12.035,2.359,2.523,4.277,1.522,5.968,1.099,3.667,1.004,0.428,High,"Immediate attention required, consider replacement"
Filter_Unit_3,28/03/2016 11:01,30.309,18.342,10.777,1.829,2.725,4.79,1.461,6.706,1.069,3.213,0.935,0.43,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,28/03/2016 12:01,32.874,21.019,11.657,2.105,2.598,5.43,1.41,5.767,0.885,4.277,0.892,0.452,High,"Immediate attention required, consider replacement"
Discharge_Point,28/03/2016 13:01,28.056,18.871,11.161,2.144,2.43,5.191,1.323,7.328,1.176,3.717,0.943,0.472,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_1,28/03/2016 14:01,31.02,17.974,12.653,1.822,2.311,3.843,1.056,7.071,0.641,2.539,1.031,0.431,Moderate,"Increased monitoring required, plan maintenance"
Filter_Unit_3,28/03/2016 15:01,34.083,17.374,12.068,2.305,2.117,5.364,1.442,7.364,0.821,3.419,1.009,0.502,High,"Immediate attention required, consider replacement"
Filter_Unit_1,28/03/2016 16:01,32.676,19.137,10.839,2.24,2.313,4.693,1.395,6.924,0.877,3.674,0.635,0.452,High,"Immediate attention required, consider replacement"
Filter_Unit_2,28/03/2016 17:01,27.861,21.265,12.228,1.747,2.332,4.75,1.222,7.021,1.047,3.07,0.874,0.393,Moderate,"Increased monitoring required, plan maintenance"
Offshore_Suction_Point,28/03/2016 18:01,31.955,18.085,10.776,2.259,2.034,4.965,1.418,6.675,1.247,3.426,0.939,0.537,High,"Immediate attention required, consider replacement"
Heater_Unit_2,28/03/2016 19:01,32.532,15.811,10.141,2.214,2.24,4.582,1.128,7.047,1.1,3.293,0.794,0.498,High,"Immediate attention required, consider replacement"
Heater_Unit_1,28/03/2016 20:01,35.667,15.746,11.541,1.673,2.137,4.38,1.485,5.883,1.015,3.606,0.789,0.367,High,"Immediate attention required, consider replacement"
Filter_Unit_2,28/03/2016 21:01,28.781,18.76,12.05,2.008,1.961,4.829,1.202,7.318,0.93,4.021,0.86,0.376,Moderate,"Increased monitoring required, plan maintenance"
Filter_Unit_3,28/03/2016 22:01,31.453,18.844,11.882,2.174,1.853,4.047,1.477,6.255,0.948,3.156,0.797,0.484,High,"Immediate attention required, consider replacement"
Corrosion_Monitor_1,28/03/2016 23:01,29.921,20.427,10.724,1.862,2.22,3.622,1.592,6.423,0.794,3.075,1.039,0.383,Moderate,"Increased monitoring required, plan maintenance"
Filter_Unit_2,29/03/2016 01:01,35.689,17.676,10.911,2.219,2.197,4.548,1.372,6.722,0.779,4.285,0.734,0.382,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,28/06/2016 01:01,29.647,19.611,12.897,1.956,2.462,4.731,1.378,6.189,0.809,4.109,0.706,0.389,Moderate,"Increased monitoring required, plan maintenance"
Pipeline_Inspection_1,28/06/2016 02:01,30.638,16.831,12.799,2.13,2.777,4.943,1.435,8.348,0.888,3.14,1.032,0.39,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,28/06/2016 03:01,31.108,19.301,8.649,2.319,2.186,5.276,1.444,6.203,0.666,3.603,0.796,0.498,High,"Immediate attention required, consider replacement"
Filter_Unit_1,28/06/2016 04:01,30.182,17.691,11.558,1.793,1.984,4.434,1.671,4.848,1.007,3.262,0.801,0.415,Moderate,"Increased monitoring required, plan maintenance"
Filter_Unit_1,28/06/2016 05:01,29.898,17.607,12.047,2.015,2.738,5.872,1.434,7.512,0.765,2.979,0.85,0.469,Moderate,"Increased monitoring required, plan maintenance"
Heater_Unit_1,28/06/2016 06:01,29.363,19.034,11.355,2.15,2.496,4.113,1.46,6.583,1.265,3.792,1.034,0.371,High,"Immediate attention required, consider replacement"
Corrosion_Monitor_1,28/06/2016 07:01,35.964,18.923,10.104,2.002,2.647,5.452,1.236,6.893,0.893,2.528,0.896,0.407,High,"Immediate attention required, consider replacement"
Heater_Unit_1,28/06/2016 08:01,31.147,19.12,11.743,2.262,2.271,5,1.615,4.374,1.065,4.151,0.911,0.383,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,28/06/2016 09:01,32.252,18.901,13.215,1.846,2.398,4.233,1.232,5.589,0.82,3.985,0.914,0.495,High,"Immediate attention required, consider replacement"
Discharge_Point,28/06/2016 10:01,34.611,18.858,11.054,2.031,2.948,5.234,1.572,6.622,0.722,3.67,0.752,0.349,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,28/06/2016 11:01,31.491,17.034,10.716,1.686,2.233,3.725,1.356,5.755,0.954,2.662,0.925,0.458,High,"Immediate attention required, consider replacement"
Heater_Unit_1,28/06/2016 12:01,29.438,18.714,14.13,1.903,2.224,4.932,1.577,6.799,1.328,3.308,0.736,0.366,High,"Immediate attention required, consider replacement"
Discharge_Point,28/06/2016 13:01,35.009,18.071,10.791,2.191,2.418,4.454,1.181,7.034,0.833,3.081,0.861,0.356,High,"Immediate attention required, consider replacement"
Filter_Unit_2,28/06/2016 14:01,34.308,21.482,10.886,2.108,2.232,5.334,1.255,6.552,0.842,3.735,1.011,0.42,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_2,28/06/2016 15:01,31.202,20.32,10.211,2.071,2.152,4.688,1.63,7.202,0.97,2.987,0.844,0.324,High,"Immediate attention required, consider replacement"
Corrosion_Monitor_2,28/06/2016 16:01,34.223,18.367,11.845,2.213,2.459,4.838,1.112,6.376,0.884,3.025,0.679,0.348,High,"Immediate attention required, consider replacement"
Discharge_Point,28/06/2016 17:01,31.347,18.421,9.541,2.263,2.235,5.867,1.465,6.879,0.959,2.465,0.837,0.268,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,28/06/2016 18:01,31.93,17.744,11.767,2.286,2.565,5.237,1.348,7.252,0.713,3.758,0.634,0.447,High,"Immediate attention required, consider replacement"
Filter_Unit_2,28/06/2016 19:01,28.988,19.657,11.671,1.905,2.952,4.057,1.243,7.401,0.618,3.603,0.923,0.389,Moderate,"Increased monitoring required, plan maintenance"
Offshore_Suction_Point,28/06/2016 20:01,30.987,19.161,7.867,1.91,2.579,5.451,0.949,6.148,0.937,3.842,0.814,0.467,High,"Immediate attention required, consider replacement"
Heater_Unit_2,28/06/2016 21:01,36.231,16.955,11.607,1.961,1.969,4.742,1.336,5.522,0.971,3.181,0.913,0.415,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,28/06/2016 22:01,29.316,18.374,13.342,2.051,2.457,4.514,1.135,8.486,1.005,2.994,0.917,0.39,High,"Immediate attention required, consider replacement"
Heater_Unit_2,28/06/2016 23:01,32.757,19.291,12.402,1.585,2.514,5.585,1.428,7.403,0.824,3.277,0.856,0.353,High,"Immediate attention required, consider replacement"
Filter_Unit_3,29/06/2016 01:01,31.815,18.947,11.034,1.699,2.174,4.866,1.385,6.418,0.804,2.712,0.879,0.462,Moderate,"Increased monitoring required, plan maintenance"
Discharge_Point,01/10/2016 01:01,30.687,17.352,10.729,1.975,2.263,4.466,1.155,7.072,1.045,3.558,0.74,0.455,High,"Immediate attention required, consider replacement"
Filter_Unit_1,01/10/2016 02:01,30.096,16.149,11.893,2.192,2.775,4.964,1.363,7.044,1.092,3.195,0.909,0.487,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,01/10/2016 03:01,33.951,17.687,11.271,1.336,2.658,3.836,1.604,6.773,1.132,2.684,0.892,0.531,High,"Immediate attention required, consider replacement"
Filter_Unit_2,01/10/2016 04:01,31.853,17.12,12.403,2.09,1.93,5.221,1.732,6.478,0.786,2.792,0.896,0.396,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_1,01/10/2016 05:01,33.485,17.971,11.758,1.668,2.739,4.517,1.467,7.088,1.239,4.023,1.02,0.473,High,"Immediate attention required, consider replacement"
Discharge_Point,01/10/2016 06:01,29.475,18.175,10.178,2.259,2.581,4.094,1.243,6.9,0.936,2.868,1.024,0.42,High,"Immediate attention required, consider replacement"
Heater_Unit_2,01/10/2016 07:01,33.513,19.326,12.809,1.96,2.68,4.913,1.433,7.457,0.979,2.889,0.898,0.442,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_2,01/10/2016 08:01,32.943,17.28,11.633,1.931,2.346,5.023,1.54,8.427,1.083,3.305,0.865,0.467,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,01/10/2016 09:01,32.056,18.45,11.144,1.805,2.971,3.362,1.561,7.349,0.865,3.623,0.822,0.521,High,"Immediate attention required, consider replacement"
Heater_Unit_2,01/10/2016 10:01,31.679,17.173,11.16,1.988,2.187,4.076,1.386,6.534,0.722,3.302,0.938,0.561,High,"Immediate attention required, consider replacement"
Filter_Unit_1,01/10/2016 11:01,25.386,18.642,12.705,1.972,2.275,4.224,1.52,7.271,1.128,3.633,0.757,0.379,Moderate,"Increased monitoring required, plan maintenance"
Discharge_Point,01/10/2016 12:01,36.673,16.97,13.452,2.276,2.213,5.331,1.25,7.217,0.882,2.654,0.772,0.527,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_2,01/10/2016 13:01,30.941,18.882,11.513,1.732,2.137,5.873,1.07,6.247,1.081,3.487,0.812,0.48,High,"Immediate attention required, consider replacement"
Heater_Unit_2,01/10/2016 14:01,37.222,20.564,12.609,1.591,2.289,5.904,1.544,7.914,0.869,3.355,0.935,0.427,High,"Immediate attention required, consider replacement"
Discharge_Point,01/10/2016 15:01,32.857,20.165,11.649,2.088,2.206,5.394,1.235,7.114,0.948,3.11,0.792,0.475,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_1,01/10/2016 16:01,32.293,19.898,11.394,2.359,2.48,4.883,1.354,8.073,1.09,4.15,0.725,0.364,High,"Immediate attention required, consider replacement"
Filter_Unit_3,01/10/2016 17:01,34.563,15.7,11.189,1.829,2.314,4.204,1.971,6.795,1.015,2.643,0.907,0.406,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,01/10/2016 18:01,33.692,16.883,12.304,1.714,2.637,4.01,1.314,6.935,0.937,3.219,0.994,0.377,High,"Immediate attention required, consider replacement"
Heater_Unit_3,01/10/2016 19:01,31.998,18.867,12.36,1.453,2.076,4.381,1.112,4.876,1.083,3.904,1.072,0.443,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,01/10/2016 20:01,33.604,17.98,11.772,1.554,2.582,4.643,1.437,5.59,0.92,2.979,0.948,0.424,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,01/10/2016 21:01,33.679,17.526,12.646,1.701,2.342,4.024,1.423,6.091,0.98,3.699,0.995,0.425,High,"Immediate attention required, consider replacement"
Discharge_Point,01/10/2016 22:01,32.144,19.755,11.819,1.787,2.394,4.752,1.269,7.416,1.094,3.139,1.039,0.31,High,"Immediate attention required, consider replacement"
Corrosion_Monitor_1,01/10/2016 23:01,35.275,17.294,9.914,1.678,2.062,5.417,1.484,6.346,1.034,3.541,0.718,0.446,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,02/10/2016 01:01,37.463,18.661,11.041,2.434,2.395,4.726,1.598,6.165,0.977,4.037,0.997,0.531,High,"Immediate attention required, consider replacement"
Filter_Unit_1,31/12/2016 01:01,34.167,18.033,10.605,1.405,2.433,5.308,1.731,7.731,0.686,3.543,0.911,0.46,Moderate,"Increased monitoring required, plan maintenance"
Filter_Unit_1,31/12/2016 02:01,32.809,17.103,13.101,1.29,2.717,4.724,1.518,7.513,0.956,3.099,0.867,0.386,Moderate,"Increased monitoring required, plan maintenance"
Pipeline_Inspection_2,31/12/2016 03:01,34.367,15.718,11.206,2.215,2.339,4.997,1.519,6.452,1.041,2.891,0.867,0.401,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_2,31/12/2016 04:01,28.769,18.686,11.725,1.889,2.184,6.024,1.559,7.052,0.677,2.785,0.784,0.432,Moderate,"Increased monitoring required, plan maintenance"
Heater_Unit_3,31/12/2016 05:01,33.518,19.126,11.14,1.915,1.944,4.8,1.589,6.548,1.125,2.84,0.928,0.479,High,"Immediate attention required, consider replacement"
Discharge_Point,31/12/2016 06:01,36.681,21.081,10.62,2.142,2.553,4.324,1.645,7.178,0.876,3.477,0.949,0.507,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,31/12/2016 07:01,30.714,19.87,10.293,2.346,2.679,4.529,1.183,6.798,1.034,3.743,0.932,0.392,High,"Immediate attention required, consider replacement"
Heater_Unit_3,31/12/2016 08:01,37.556,20.008,10.394,2.324,2.295,5.012,1.323,6.038,0.846,3.469,0.966,0.509,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_1,31/12/2016 09:01,30.29,18.686,11.178,1.698,2.265,4.847,1.381,7.847,1.061,2.797,0.831,0.495,Moderate,"Increased monitoring required, plan maintenance"
Offshore_Suction_Point,31/12/2016 10:01,29.748,19.321,12.653,2.061,2.271,5.345,1.302,6.831,0.866,3.116,0.897,0.404,Moderate,"Increased monitoring required, plan maintenance"
Offshore_Suction_Point,31/12/2016 11:01,35.177,20.607,11.067,1.965,2.623,4.834,1.378,7.299,0.792,3.079,0.693,0.348,High,"Immediate attention required, consider replacement"
Filter_Unit_1,31/12/2016 12:01,34.099,18.081,13.161,1.617,1.848,4.085,1.51,6.271,0.752,3.25,0.815,0.603,High,"Immediate attention required, consider replacement"
